OE;AN/Einheit;Ausstattung;Sachnummer;Inventarnr.;Gerätenr.;Kennzeichen;Prüfung;Letzte;"letztes 
Ergebnis";"letzte 
Nr";Fällig;Ergebnis;Durchführung;Nr;Prüfer;"Hinweis/Begründung zum
Prüfungsergebnis";"Art der
Empfehlung";"Datum der
Empfehlung";Empfehlung durch;"Bemerkung zur
Empfehlung"
OV Berlin Neukölln;1. TZ, FGr W (B);Fly-Jib, Transportgestell;2013;PALFINGER - PK27002SH;3815T00018;0001-347776;;;BL-Anschlagstück;28.02.2018;i. O.;5;28.02.2019;;;;;;;
OV Berlin Neukölln;1. TZ, 1. B;Zurrgurt mit Ratsche (800 kg);1900;SPANSET - LC800daN;3940T00037;0058-003997;;;BL-Zurrgurt;19.10.2019;i. O.;120;18.10.2020;;;;;;;
OV Berlin Neukölln;1. TZ, 1. B, EGS;Zurrgurt mit Ergo-Ratsche (2500 daN);2010;DOLEZYCH - DOzurr;3940T00039;0058-003586;EGS;;BL-Zurrgurt;19.10.2019;i. O.;10;18.10.2020;;;;;;;
OV Berlin Neukölln;1. TZ, FGr N;Zurrgurt mit Ratsche (2500 daN);2010;SANLASH - SAN 1042.001;3940T00044;0055-006951;;;BL-Zurrgurt;01.01.2010;;;01.01.2011;;;;;;;
OV Berlin Neukölln;1. TZ, FGr N;Zurrgurt mit Ratsche (2500 daN);2010;SANLASH - SAN 1042.001;3940T00044;0055-006952;;;BL-Zurrgurt;01.01.2010;;;01.01.2011;;;;;;;
OV Berlin Neukölln;1. TZ, FGr N;Zurrgurt mit Ratsche (2500 daN);2010;SANLASH - SAN 1042.001;3940T00044;0055-006953;;;BL-Zurrgurt;01.01.2010;;;01.01.2011;;;;;;;
OV Berlin Neukölln;1. TZ, 1. B, EGS;Zurrgurt mit Ratsche (2500 daN);2010;SANLASH - SAN 1042.001;3940T00044;0055-006954;;;BL-Zurrgurt;01.01.2010;;;01.01.2011;;;;;;;
OV Berlin Neukölln;1. TZ, 1. B, EGS;Zurrgurt mit Ratsche (2500 daN);2010;SANLASH - SAN 1042.001;3940T00044;0055-006955;;;BL-Zurrgurt;01.01.2010;;;01.01.2011;;;;;;;
OV Berlin Neukölln;1. TZ, 1. B, EGS;Zurrgurt mit Ratsche (2500 daN);2010;SANLASH - SAN 1042.001;3940T00044;0055-006956;;;BL-Zurrgurt;01.01.2010;;;01.01.2011;;;;;;;
OV Berlin Neukölln;1. TZ, 1. B, EGS;Zurrgurt mit Ratsche (2500 daN);2010;SANLASH - SAN 1042.001;3940T00044;0055-006957;;;BL-Zurrgurt;01.01.2010;;;01.01.2011;;;;;;;
OV Berlin Neukölln;1. TZ, 1. B, EGS;Zurrgurt mit Ratsche (2500 daN);2010;SANLASH - SAN 1042.001;3940T00044;0055-006958;;;BL-Zurrgurt;01.01.2010;;;01.01.2011;;;;;;;
OV Berlin Neukölln;1. TZ, 1. B, EGS;Zurrgurt mit Ratsche (2500 daN);2010;SANLASH - SAN 1042.001;3940T00044;0055-006959;;;BL-Zurrgurt;01.01.2010;;;01.01.2011;;;;;;;
OV Berlin Neukölln;1. TZ, 1. B, EGS;Zurrgurt mit Ratsche (2500 daN);2010;SANLASH - SAN 1042.001;3940T00044;0055-006960;;;BL-Zurrgurt;01.01.2010;;;01.01.2011;;;;;;;
